Категория,Подкатегория,Продукт,Описание,Цена
Морепродукты,Креветки,Креветки Королевские 26/30 очищенные 1 кг,Глазурь 30%. Очищенные без хвоста и пищевода. Индия,7 500 Т
Морепродукты,Креветки,Креветка Королевская 16/20 в панцире б/г 1 кг,"Свежемороженая, глазурь 30%, без головы, Индия",7 800 Т
Морепродукты,Креветки,Креветка Королевская 31/40 очищенная 1 кг/уп,"Свежемороженая, очищенная от панциря, упаковка 1 кг, глазурь 30%, пр-во Индия.",7 600 Т
Морепродукты,Креветки,"Креветка Королевская  21/25, в панцире без головы","Креветки глаузурь 30%, упаковка 1 кг, свежемороженная, пр-во Индия",7 600 Т
Морепродукты,Креветки,"Лангустины в панцире с головой, размер 21-30 уп 2 кг","Замороженные, уп. 2 кг, размер 2L (21-30 шт/кг)",11 490 Т
Морепродукты,Креветки,Креветка Королевская 41/50 бланшированная 1 кг,"Королевская креветка, бланшированная, очищенная, уп. 1кг, вылов Индия,",7 800 Т
Морепродукты,Креветки,"Лангустины в Панцире с головой, размер 10-20 уп 2 кг","Сухая заморозка, без глазури, вылов Аргентина, в упаковке 2 кг",15 800 Т
Морепродукты,Креветки,"Креветка Северная, 90/120,  Гренландия","Дикий вылов, вареномороженая весовая, глазурь техническая 5%",9 200 Т
Морепродукты,Креветки,Креветка Тигровая  13/15 с головой,"Тигровые Креветки вылов Индия, замороженные, вес упаковки 1 кг",12 800 Т
Морепродукты,Креветки,Креветка Королевская Premium 31/40 с/м очищ с хвостом 7% глазурь,,8 500 Т
Морепродукты,Креветки,Креветка Premium 16/20 с/м б/г 7% глазурь,"Креветка Ваннамей в панцире, без головы, свежемороженная",8 800 Т
Морепродукты,Креветки,"Креветка салатная очищенная 100/200, глазурь 30%, 1 кг/уп",Креветка вареная салатная размер 100/200 пр-во Индия,5 990 Т
Морепродукты,Креветки,"Креветка Королевская Блочная, размер 16/20, 1,8 кг","Чистый вес креветки в блоке после разморозки 1,8 кг",19 500 Т
Морепродукты,Креветки,Креветка Premium 21/25 с/м б/г 7% глазурь,"Свежемороженая, без головы, 7% глазурь",8 500 Т
Морепродукты,Креветки,Креветка Королевская Premium 26/30 с/м очищ с хвостом 7% глазурь,"Без головы, очищенная, Premium",8 800 Т
Морепродукты,Креветки,Креветка Лангустины с/м без головы 30/55 уп 2 кг,Упаковка 2 кг. Без головы. Количество 30-55 штук на 1 кг.,16 500 Т
Морепродукты,Креветки,"Креветка Королевская Блочная, в панцире 21/25, 1,8 кг","Чистый вес креветки в блоке 1,8 кг, общий вес блока со льдом 2,4 кг",18 500 Т
Морепродукты,Креветки,Креветка Premium 41/50 бланш очищ с хвостом 7% глазурь,"Бланшированная, очищенная от панцыря и пищевода, с хвостом. Индия",8 500 Т
Морепродукты,Креветки,Креветка Premium 100/200 бланш очищ 7% глазурь,"Бланшированная, очищенная,7% глазурь",6 900 Т
Морепродукты,Креветки,"Креветка красная (spot prawns) Канада, размер J 15-19 шт/кг",,45 990 Т
Морепродукты,Креветки,"Креветка красная (spot prawns) Канада, размер XJ 10-14 шт/кг",,46 990 Т
Морепродукты,Крабы,Конечности Камчатского Краба 4L,"Краб Камчатский, замороженный, конечности длиной 40 - 50 см",38 000 Т
Морепродукты,Крабы,"Мясо краба, 1я фаланга уп. 1 кг","Мясо из первой фаланги, замороженное.",49 500 Т
Морепродукты,Крабы,"Конечности Камчатского Краба 3 L, 900-1400 гр","Замороженные, вес одной секции 900-1400 гр, размер 3 L",35 000 Т
Морепродукты,Крабы,Краб Камчатский Роза (плечо),"Чистое крабовое мясо из плечевой области, упаковка 1 кг",48 000 Т
Морепродукты,Крабы,Мясо краба в/м блок (салатное мясо),"Замороженное Крабовое мясо, вес блока 1 кг",30 000 Т
Морепродукты,Крабы,Краб камчатский полуфиле большой клешни 1 кг/уп,,35 000 Т
Морепродукты,Крабы,Red Crab Краб 1-я фаланга в заливке 220 гр ст/бан,"Мясо камчатского краба, вода питьевая, соль",19 000 Т
Морепродукты,Крабы,Red Crab Краб 1-я фаланга в заливке 500 гр ст/бан,,40 000 Т
Морепродукты,Крабы,Kani Крабовое мясо 500гр 8 шт,,2 500 Т
Морепродукты,Устрицы,Устрицы Gillardeau (Жилардо) №2,Французские устрицы Жилардо #2,3 000 Т
Морепродукты,Устрицы,Устрицы Fine de Claire Marine (Марине) # 2,Живые устрицы из Франции Marine #2,1 590 Т
Морепродукты,Устрицы,Устрицы Fine de Claire Celine (Селин) # 2,"Живые, доставлены из Франции самолетом",2 100 Т
Морепродукты,Устрицы,Устрицы Ostra Regal  #2,"Устрицы живые, доставляются по предварительному заказу по пятницам, вылов Франция",3 000 Т
